                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.46707,                0.26408,                0.77686,                0.98324,                0.91258,                0.97239,                  0.718,                  1.041,                0.71155,                0.83396,              0.0011189,              0.0011189,              0.0011189
                     91,                0.45451,                0.26281,                0.77334,                 0.9831,                0.90513,                0.96829,                0.71388,                 1.0759,                0.71759,                0.83821,               0.001109,               0.001109,               0.001109
                     92,                0.45509,                0.26111,                0.77474,                0.98422,                0.91778,                0.97331,                0.70613,                 1.0446,                0.63568,                0.83788,              0.0010991,              0.0010991,              0.0010991
                     93,                0.46329,                0.27262,                0.77725,                0.99026,                0.91889,                0.97099,                0.71877,                  1.009,                 0.6949,                0.83226,              0.0010892,              0.0010892,              0.0010892
                     94,                0.43728,                0.24824,                0.77566,                0.98561,                0.91444,                0.97474,                0.70984,                 1.0429,                 0.6859,                0.83639,              0.0010793,              0.0010793,              0.0010793
                     95,                0.44992,                0.25971,                0.77433,                0.97396,                   0.92,                0.97181,                0.70055,                  1.031,                0.69801,                0.83526,              0.0010694,              0.0010694,              0.0010694
                     96,                0.45003,                0.25803,                0.77786,                0.99031,                0.90831,                0.96547,                0.70014,                 1.0231,                0.72535,                0.83344,              0.0010595,              0.0010595,              0.0010595
                     97,                0.46035,                0.26553,                0.77573,                0.99032,                0.90979,                0.96716,                0.71047,                 1.0594,                0.72406,                0.83707,              0.0010496,              0.0010496,              0.0010496
                     98,                0.45918,                0.25663,                0.77198,                0.97196,                   0.91,                0.96065,                 0.7093,                 1.0371,                0.74344,                  0.832,              0.0010397,              0.0010397,              0.0010397
                     99,                0.45005,                0.25518,                  0.776,                0.98309,                0.91556,                 0.9629,                0.70749,                 1.0319,                0.75643,                 0.8304,              0.0010298,              0.0010298,              0.0010298
                    100,                0.44495,                0.25076,                0.77944,                0.98251,                 0.9362,                0.97193,                0.71335,                 1.0162,                0.70854,                0.83848,              0.0010199,              0.0010199,              0.0010199
                    101,                0.44073,                0.25448,                0.77077,                0.97981,                0.91674,                0.96322,                0.70344,                 1.0435,                0.74143,                0.83842,                0.00101,                0.00101,                0.00101
